,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
522,19,start,start,N,VN,end,,,Wards,protected,,start_start,start_VN,VN_end,N
523,19,start,N,VN,end,end,,Wards,protected,,,start_N,N_end,end_end,VN
946,42,start,start,DET,N,ADJ,,,The,mayor's,present,start_start,start_N,N_ADJ,DET
947,42,start,DET,N,ADJ,N,,The,mayor's,present,term,start_DET,DET_ADJ,ADJ_N,N
948,42,DET,N,ADJ,N,P,The,mayor's,present,term,of,DET_N,N_N,N_P,N
949,42,N,ADJ,N,P,N,mayor's,present,term,of,office,N_ADJ,ADJ_P,P_N,N
950,42,ADJ,N,P,N,VBZ,present,term,of,office,expires,ADJ_N,N_N,N_VBZ,P
951,42,N,P,N,VBZ,NP,term,of,office,expires,Jan.,N_P,P_VBZ,VBZ_NP,N
952,42,P,N,VBZ,NP,NUM,of,office,expires,Jan.,1,P_N,N_NP,NP_NUM,P
953,42,N,VBZ,NP,NUM,.,office,expires,Jan.,1,.,N_VBZ,VBZ_NUM,NUM_.,NP
954,42,VBZ,NP,NUM,.,end,expires,Jan.,1,.,,VBZ_NP,NP_.,._end,NUM
955,42,NP,NUM,.,end,end,Jan.,1,.,,,NP_NUM,NUM_end,end_end,.
31002,1414,start,start,``,ADV,",",,,``,Nae,",",start_start,start_ADV,"ADV_,",``
31003,1414,start,``,ADV,",",N,,``,Nae,",",man,start_``,"``_,",",_N",N
31004,1414,``,ADV,",",N,'',``,Nae,",",man,'',``_ADV,ADV_N,N_'',","
31005,1414,ADV,",",N,'',",",Nae,",",man,'',",","ADV_,",",_''","''_,",N
31006,1414,",",N,'',",",VD,",",man,'',",",said,",_N","N_,",",_VD",''
31007,1414,N,'',",",VD,NP,man,'',",",said,Willie,N_'',''_VD,VD_NP,","
31008,1414,'',",",VD,NP,",",'',",",said,Willie,",","''_,",",_NP","NP_,",VN
31009,1414,",",VD,NP,",",``,",",said,Willie,",",``,",_VD","VD_,",",_``",NP
31010,1414,VD,NP,",",``,PRO,said,Willie,",",``,ye,VD_NP,NP_``,``_PRO,","
31011,1414,NP,",",``,PRO,MOD,Willie,",",``,ye,must,"NP_,",",_PRO",PRO_MOD,CNJ
31012,1414,",",``,PRO,MOD,V,",",``,ye,must,be,",_``",``_MOD,MOD_V,PRO
31013,1414,``,PRO,MOD,V,VG,``,ye,must,be,countin',``_PRO,PRO_V,V_VG,MOD
31014,1414,PRO,MOD,V,VG,DET,ye,must,be,countin',the,PRO_MOD,MOD_VG,VG_DET,V
31015,1414,MOD,V,VG,DET,N,must,be,countin',the,echoes,MOD_V,V_DET,DET_N,VG
31016,1414,V,VG,DET,N,'',be,countin',the,echoes,'',V_VG,VG_N,N_'',DET
31017,1414,VG,DET,N,'',.,countin',the,echoes,'',.,VG_DET,DET_'',''_.,N
31018,1414,DET,N,'',.,end,the,echoes,'',.,,DET_N,N_.,._end,''
31019,1414,N,'',.,end,end,echoes,'',.,,,N_'',''_end,end_end,.
34846,1601,start,start,NP,NUM,V,,,Dec.,22,is,start_start,start_NUM,NUM_V,NP
34847,1601,start,NP,NUM,V,DET,,Dec.,22,is,the,start_NP,NP_V,V_DET,NUM
34848,1601,NP,NUM,V,DET,N,Dec.,22,is,the,deadline,NP_NUM,NUM_DET,DET_N,P
34849,1601,NUM,V,DET,N,P,22,is,the,deadline,for,NUM_V,V_N,N_P,DET
34850,1601,V,DET,N,P,NP,is,the,deadline,for,Mrs.,V_DET,DET_P,P_NP,N
34851,1601,DET,N,P,NP,NP,the,deadline,for,Mrs.,Geraghty's,DET_N,N_NP,NP_NP,P
34852,1601,N,P,NP,NP,N,deadline,for,Mrs.,Geraghty's,return,N_P,P_NP,NP_N,NP
34853,1601,P,NP,NP,N,.,for,Mrs.,Geraghty's,return,;,P_NP,NP_N,N_.,NP
34854,1601,NP,NP,N,.,.,Mrs.,Geraghty's,return,;,;,NP_NP,NP_.,._.,ADJ
34855,1601,NP,N,.,.,end,Geraghty's,return,;,;,,NP_N,N_.,._end,.
34856,1601,N,.,.,end,end,return,;,;,,,N_.,._end,end_end,.
37764,1740,start,start,DET,V,V,,,Some,even,boast,start_start,start_V,V_V,DET
37765,1740,start,DET,V,V,NUM,,Some,even,boast,two,start_DET,DET_V,V_NUM,N
37766,1740,DET,V,V,NUM,N,Some,even,boast,two,pools,DET_V,V_NUM,NUM_N,V
37767,1740,V,V,NUM,N,",",even,boast,two,pools,",",V_V,V_N,"N_,",P
37768,1740,V,NUM,N,",",NUM,boast,two,pools,",",one,V_NUM,"NUM_,",",_NUM",N
37769,1740,NUM,N,",",NUM,P,two,pools,",",one,for,NUM_N,N_NUM,NUM_P,","
37770,1740,N,",",NUM,P,N,pools,",",one,for,adults,"N_,",",_P",P_N,PRO
37771,1740,",",NUM,P,N,CNJ,",",one,for,adults,and,",_NUM",NUM_N,N_CNJ,P
37772,1740,NUM,P,N,CNJ,NUM,one,for,adults,and,one,NUM_P,P_CNJ,CNJ_NUM,N
37773,1740,P,N,CNJ,NUM,P,for,adults,and,one,for,P_N,N_NUM,NUM_P,P
37774,1740,N,CNJ,NUM,P,N,adults,and,one,for,children,N_CNJ,CNJ_P,P_N,PRO
37775,1740,CNJ,NUM,P,N,.,and,one,for,children,.,CNJ_NUM,NUM_N,N_.,P
37776,1740,NUM,P,N,.,end,one,for,children,.,,NUM_P,P_.,._end,N
37777,1740,P,N,.,end,end,for,children,.,,,P_N,N_end,end_end,.
47301,2180,start,start,DET,N,VG,,,A,note,making,start_start,start_N,N_VG,DET
47302,2180,start,DET,N,VG,DET,,A,note,making,the,start_DET,DET_VG,VG_DET,N
47303,2180,DET,N,VG,DET,N,A,note,making,the,request,DET_N,N_DET,DET_N,N
47304,2180,N,VG,DET,N,V,note,making,the,request,was,N_VG,VG_N,N_V,DET
47305,2180,VG,DET,N,V,VN,making,the,request,was,handed,VG_DET,DET_V,V_VN,N
47306,2180,DET,N,V,VN,P,the,request,was,handed,to,DET_N,N_VN,VN_P,V
47307,2180,N,V,VN,P,NP,request,was,handed,to,U.S.,N_V,V_P,P_NP,VN
47308,2180,V,VN,P,NP,N,was,handed,to,U.S.,Ambassador,V_VN,VN_NP,NP_N,P
47309,2180,VN,P,NP,N,NP,handed,to,U.S.,Ambassador,Winthrop,VN_P,P_N,N_NP,NP
47310,2180,P,NP,N,NP,NP,to,U.S.,Ambassador,Winthrop,G.,P_NP,NP_NP,NP_NP,N
47311,2180,NP,N,NP,NP,NP,U.S.,Ambassador,Winthrop,G.,Brown,NP_N,N_NP,NP_NP,NP
47312,2180,N,NP,NP,NP,.,Ambassador,Winthrop,G.,Brown,.,N_NP,NP_NP,NP_.,NP
47313,2180,NP,NP,NP,.,end,Winthrop,G.,Brown,.,,NP_NP,NP_.,._end,NP
