,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
522,19,start,start,N,VN,end,,,Wards,protected,,start_start,start_VN,VN_end,DET
523,19,start,N,VN,end,end,,Wards,protected,,,start_N,N_end,end_end,VN
946,42,start,start,DET,N,ADJ,,,The,mayor's,present,start_start,start_N,N_ADJ,DET
947,42,start,DET,N,ADJ,N,,The,mayor's,present,term,start_DET,DET_ADJ,ADJ_N,N
948,42,DET,N,ADJ,N,P,The,mayor's,present,term,of,DET_N,N_N,N_P,N
949,42,N,ADJ,N,P,N,mayor's,present,term,of,office,N_ADJ,ADJ_P,P_N,N
950,42,ADJ,N,P,N,VBZ,present,term,of,office,expires,ADJ_N,N_N,N_VBZ,P
951,42,N,P,N,VBZ,NP,term,of,office,expires,Jan.,N_P,P_VBZ,VBZ_NP,N
952,42,P,N,VBZ,NP,NUM,of,office,expires,Jan.,1,P_N,N_NP,NP_NUM,P
953,42,N,VBZ,NP,NUM,.,office,expires,Jan.,1,.,N_VBZ,VBZ_NUM,NUM_.,NP
954,42,VBZ,NP,NUM,.,end,expires,Jan.,1,.,,VBZ_NP,NP_.,._end,NUM
955,42,NP,NUM,.,end,end,Jan.,1,.,,,NP_NUM,NUM_end,end_end,.
31002,1414,start,start,``,ADV,",",,,``,Nae,",",start_start,start_ADV,"ADV_,",``
31003,1414,start,``,ADV,",",N,,``,Nae,",",man,start_``,"``_,",",_N",N
31004,1414,``,ADV,",",N,'',``,Nae,",",man,'',``_ADV,ADV_N,N_'',","
31005,1414,ADV,",",N,'',",",Nae,",",man,'',",","ADV_,",",_''","''_,",N
31006,1414,",",N,'',",",VD,",",man,'',",",said,",_N","N_,",",_VD",''
31007,1414,N,'',",",VD,NP,man,'',",",said,Willie,N_'',''_VD,VD_NP,","
31008,1414,'',",",VD,NP,",",'',",",said,Willie,",","''_,",",_NP","NP_,",VN
31009,1414,",",VD,NP,",",``,",",said,Willie,",",``,",_VD","VD_,",",_``",NP
31010,1414,VD,NP,",",``,PRO,said,Willie,",",``,ye,VD_NP,NP_``,``_PRO,","
31011,1414,NP,",",``,PRO,MOD,Willie,",",``,ye,must,"NP_,",",_PRO",PRO_MOD,CNJ
31012,1414,",",``,PRO,MOD,V,",",``,ye,must,be,",_``",``_MOD,MOD_V,PRO
31013,1414,``,PRO,MOD,V,VG,``,ye,must,be,countin',``_PRO,PRO_V,V_VG,MOD
31014,1414,PRO,MOD,V,VG,DET,ye,must,be,countin',the,PRO_MOD,MOD_VG,VG_DET,V
31015,1414,MOD,V,VG,DET,N,must,be,countin',the,echoes,MOD_V,V_DET,DET_N,VG
31016,1414,V,VG,DET,N,'',be,countin',the,echoes,'',V_VG,VG_N,N_'',DET
31017,1414,VG,DET,N,'',.,countin',the,echoes,'',.,VG_DET,DET_'',''_.,N
31018,1414,DET,N,'',.,end,the,echoes,'',.,,DET_N,N_.,._end,''
31019,1414,N,'',.,end,end,echoes,'',.,,,N_'',''_end,end_end,.
34846,1601,start,start,NP,NUM,V,,,Dec.,22,is,start_start,start_NUM,NUM_V,NP
34847,1601,start,NP,NUM,V,DET,,Dec.,22,is,the,start_NP,NP_V,V_DET,NUM
34848,1601,NP,NUM,V,DET,N,Dec.,22,is,the,deadline,NP_NUM,NUM_DET,DET_N,P
34849,1601,NUM,V,DET,N,P,22,is,the,deadline,for,NUM_V,V_N,N_P,DET
34850,1601,V,DET,N,P,NP,is,the,deadline,for,Mrs.,V_DET,DET_P,P_NP,N
34851,1601,DET,N,P,NP,NP,the,deadline,for,Mrs.,Geraghty's,DET_N,N_NP,NP_NP,P
34852,1601,N,P,NP,NP,N,deadline,for,Mrs.,Geraghty's,return,N_P,P_NP,NP_N,NP
