,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
522,19,start,start,N,VN,end,,,Wards,protected,,start_start,start_VN,VN_end,
523,19,start,N,VN,end,end,,Wards,protected,,,start_N,N_end,end_end,
946,42,start,start,DET,N,ADJ,,,The,mayor's,present,start_start,start_N,N_ADJ,
947,42,start,DET,N,ADJ,N,,The,mayor's,present,term,start_DET,DET_ADJ,ADJ_N,
948,42,DET,N,ADJ,N,P,The,mayor's,present,term,of,DET_N,N_N,N_P,
949,42,N,ADJ,N,P,N,mayor's,present,term,of,office,N_ADJ,ADJ_P,P_N,
950,42,ADJ,N,P,N,VBZ,present,term,of,office,expires,ADJ_N,N_N,N_VBZ,
951,42,N,P,N,VBZ,NP,term,of,office,expires,Jan.,N_P,P_VBZ,VBZ_NP,
952,42,P,N,VBZ,NP,NUM,of,office,expires,Jan.,1,P_N,N_NP,NP_NUM,
953,42,N,VBZ,NP,NUM,.,office,expires,Jan.,1,.,N_VBZ,VBZ_NUM,NUM_.,
954,42,VBZ,NP,NUM,.,end,expires,Jan.,1,.,,VBZ_NP,NP_.,._end,
955,42,NP,NUM,.,end,end,Jan.,1,.,,,NP_NUM,NUM_end,end_end,
1676,71,start,start,CNJ,VG,CNJ,,,While,emphasizing,that,start_start,start_VG,VG_CNJ,
1677,71,start,CNJ,VG,CNJ,ADJ,,While,emphasizing,that,technical,start_CNJ,CNJ_CNJ,CNJ_ADJ,
1678,71,CNJ,VG,CNJ,ADJ,N,While,emphasizing,that,technical,details,CNJ_VG,VG_ADJ,ADJ_N,
1679,71,VG,CNJ,ADJ,N,V,emphasizing,that,technical,details,were,VG_CNJ,CNJ_N,N_V,
1680,71,CNJ,ADJ,N,V,*,that,technical,details,were,not,CNJ_ADJ,ADJ_V,V_*,
1681,71,ADJ,N,V,*,ADV,technical,details,were,not,fully,ADJ_N,N_*,*_ADV,
1682,71,N,V,*,ADV,VN,details,were,not,fully,worked,N_V,V_ADV,ADV_VN,
1683,71,V,*,ADV,VN,ADV,were,not,fully,worked,out,V_*,*_VN,VN_ADV,
1684,71,*,ADV,VN,ADV,",",not,fully,worked,out,",",*_ADV,ADV_ADV,"ADV_,",
1685,71,ADV,VN,ADV,",",NP,fully,worked,out,",",Pelham,ADV_VN,"VN_,",",_NP",
1686,71,VN,ADV,",",NP,VD,worked,out,",",Pelham,said,VN_ADV,ADV_NP,NP_VD,
1687,71,ADV,",",NP,VD,PRO,out,",",Pelham,said,his,"ADV_,",",_VD",VD_PRO,
1688,71,",",NP,VD,PRO,N,",",Pelham,said,his,resolution,",_NP",NP_PRO,PRO_N,
1689,71,NP,VD,PRO,N,MOD,Pelham,said,his,resolution,would,NP_VD,VD_N,N_MOD,
1690,71,VD,PRO,N,MOD,V,said,his,resolution,would,seek,VD_PRO,PRO_MOD,MOD_V,
1691,71,PRO,N,MOD,V,TO,his,resolution,would,seek,to,PRO_N,N_V,V_TO,
1692,71,N,MOD,V,TO,V,resolution,would,seek,to,set,N_MOD,MOD_TO,TO_V,
1693,71,MOD,V,TO,V,ADV,would,seek,to,set,aside,MOD_V,V_V,V_ADV,
1694,71,V,TO,V,ADV,DET,seek,to,set,aside,the,V_TO,TO_ADV,ADV_DET,
1695,71,TO,V,ADV,DET,N,to,set,aside,the,privilege,TO_V,V_DET,DET_N,
1696,71,V,ADV,DET,N,N,set,aside,the,privilege,resolution,V_ADV,ADV_N,N_N,
1697,71,ADV,DET,N,N,WH,aside,the,privilege,resolution,which,ADV_DET,DET_N,N_WH,
1698,71,DET,N,N,WH,DET,the,privilege,resolution,which,the,DET_N,N_WH,WH_DET,
1699,71,N,N,WH,DET,N,privilege,resolution,which,the,House,N_N,N_DET,DET_N,
1700,71,N,WH,DET,N,VD,resolution,which,the,House,voted,N_WH,WH_N,N_VD,
1701,71,WH,DET,N,VD,P,which,the,House,voted,through,WH_DET,DET_VD,VD_P,
1702,71,DET,N,VD,P,NUM,the,House,voted,through,87-31,DET_N,N_P,P_NUM,
1703,71,N,VD,P,NUM,.,House,voted,through,87-31,.,N_VD,VD_NUM,NUM_.,
1704,71,VD,P,NUM,.,end,voted,through,87-31,.,,VD_P,P_.,._end,
1705,71,P,NUM,.,end,end,through,87-31,.,,,P_NUM,NUM_end,end_end,
5367,234,start,start,P,VG,PRO,,,After,reading,his,start_start,start_VG,VG_PRO,
5368,234,start,P,VG,PRO,N,,After,reading,his,statement,start_P,P_PRO,PRO_N,
5369,234,P,VG,PRO,N,VG,After,reading,his,statement,discharging,P_VG,VG_N,N_VG,
5370,234,VG,PRO,N,VG,DET,reading,his,statement,discharging,the,VG_PRO,PRO_VG,VG_DET,
5371,234,PRO,N,VG,DET,NUM,his,statement,discharging,the,23d,PRO_N,N_DET,DET_NUM,
5372,234,N,VG,DET,NUM,N,statement,discharging,the,23d,ward,N_VG,VG_NUM,NUM_N,
5373,234,VG,DET,NUM,N,N,discharging,the,23d,ward,case,VG_DET,DET_N,N_N,
5374,234,DET,NUM,N,N,",",the,23d,ward,case,",",DET_NUM,NUM_N,"N_,",
5375,234,NUM,N,N,",",NP,23d,ward,case,",",Karns,NUM_N,"N_,",",_NP",
5376,234,N,N,",",NP,VD,ward,case,",",Karns,told,N_N,N_NP,NP_VD,
5377,234,N,",",NP,VD,NP,case,",",Karns,told,Wexler,"N_,",",_VD",VD_NP,
5378,234,",",NP,VD,NP,CNJ,",",Karns,told,Wexler,that,",_NP",NP_NP,NP_CNJ,
5379,234,NP,VD,NP,CNJ,CNJ,Karns,told,Wexler,that,if,NP_VD,VD_CNJ,CNJ_CNJ,
5380,234,VD,NP,CNJ,CNJ,DET,told,Wexler,that,if,the,VD_NP,NP_CNJ,CNJ_DET,
5381,234,NP,CNJ,CNJ,DET,NUM,Wexler,that,if,the,seven,NP_CNJ,CNJ_DET,DET_NUM,
