,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
133257,6184,start,start,PRO,V,DET,,,We,have,far,start_start,start_V,V_DET,PRO
133258,6184,start,PRO,V,DET,DET,,We,have,far,less,start_PRO,PRO_DET,DET_DET,V
133259,6184,PRO,V,DET,DET,TO,We,have,far,less,to,PRO_V,V_DET,DET_TO,ADV
133260,6184,V,DET,DET,TO,V,have,far,less,to,fear,V_DET,DET_TO,TO_V,DET
133261,6184,DET,DET,TO,V,P,far,less,to,fear,in,DET_DET,DET_V,V_P,TO
133262,6184,DET,TO,V,P,DET,less,to,fear,in,the,DET_TO,TO_P,P_DET,N
133263,6184,TO,V,P,DET,ADJ,to,fear,in,the,migrant,TO_V,V_DET,DET_ADJ,P
133264,6184,V,P,DET,ADJ,N,fear,in,the,migrant,family,V_P,P_ADJ,ADJ_N,DET
133265,6184,P,DET,ADJ,N,CNJ,in,the,migrant,family,than,P_DET,DET_N,N_CNJ,DET
133266,6184,DET,ADJ,N,CNJ,PRO,the,migrant,family,than,we,DET_ADJ,ADJ_CNJ,CNJ_PRO,N
133267,6184,ADJ,N,CNJ,PRO,V,migrant,family,than,we,have,ADJ_N,N_PRO,PRO_V,CNJ
133268,6184,N,CNJ,PRO,V,P,family,than,we,have,in,N_CNJ,CNJ_V,V_P,PRO
133269,6184,CNJ,PRO,V,P,DET,than,we,have,in,the,CNJ_PRO,PRO_P,P_DET,V
133270,6184,PRO,V,P,DET,ADJ,we,have,in,the,migrant,PRO_V,V_DET,DET_ADJ,P
133271,6184,V,P,DET,ADJ,N,have,in,the,migrant,developer,V_P,P_ADJ,ADJ_N,DET
133272,6184,P,DET,ADJ,N,P,in,the,migrant,developer,under,P_DET,DET_N,N_P,DET
133273,6184,DET,ADJ,N,P,DET,the,migrant,developer,under,these,DET_ADJ,ADJ_P,P_DET,N
133274,6184,ADJ,N,P,DET,N,migrant,developer,under,these,conditions,ADJ_N,N_DET,DET_N,P
133275,6184,N,P,DET,N,.,developer,under,these,conditions,.,N_P,P_N,N_.,DET
133276,6184,P,DET,N,.,end,under,these,conditions,.,,P_DET,DET_.,._end,N
133277,6184,DET,N,.,end,end,these,conditions,.,,,DET_N,N_end,end_end,.
163180,7615,start,start,PRO,V,NUM,,,It,is,one,start_start,start_V,V_NUM,PRO
163181,7615,start,PRO,V,NUM,P,,It,is,one,of,start_PRO,PRO_NUM,NUM_P,V
163182,7615,PRO,V,NUM,P,DET,It,is,one,of,the,PRO_V,V_P,P_DET,NUM
163183,7615,V,NUM,P,DET,DET,is,one,of,the,most,V_NUM,NUM_DET,DET_DET,P
163184,7615,NUM,P,DET,DET,ADJ,one,of,the,most,entertaining,NUM_P,P_DET,DET_ADJ,DET
163185,7615,P,DET,DET,ADJ,CNJ,of,the,most,entertaining,and,P_DET,DET_ADJ,ADJ_CNJ,DET
163186,7615,DET,DET,ADJ,CNJ,ADJ,the,most,entertaining,and,irresponsible,DET_DET,DET_CNJ,CNJ_ADJ,ADJ
163187,7615,DET,ADJ,CNJ,ADJ,N,most,entertaining,and,irresponsible,novels,DET_ADJ,ADJ_ADJ,ADJ_N,CNJ
163188,7615,ADJ,CNJ,ADJ,N,P,entertaining,and,irresponsible,novels,of,ADJ_CNJ,CNJ_N,N_P,ADJ
163189,7615,CNJ,ADJ,N,P,DET,and,irresponsible,novels,of,the,CNJ_ADJ,ADJ_P,P_DET,N
163190,7615,ADJ,N,P,DET,N,irresponsible,novels,of,the,season,ADJ_N,N_DET,DET_N,P
163191,7615,N,P,DET,N,.,novels,of,the,season,.,N_P,P_N,N_.,DET
163192,7615,P,DET,N,.,end,of,the,season,.,,P_DET,DET_.,._end,N
163193,7615,DET,N,.,end,end,the,season,.,,,DET_N,N_end,end_end,.
