,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
31002,1414,start,start,``,ADV,",",,,``,Nae,",",start_start,start_ADV,"ADV_,",``
31003,1414,start,``,ADV,",",N,,``,Nae,",",man,start_``,"``_,",",_N",N
31004,1414,``,ADV,",",N,'',``,Nae,",",man,'',``_ADV,ADV_N,N_'',","
31005,1414,ADV,",",N,'',",",Nae,",",man,'',",","ADV_,",",_''","''_,",N
31006,1414,",",N,'',",",VD,",",man,'',",",said,",_N","N_,",",_VD",''
31007,1414,N,'',",",VD,NP,man,'',",",said,Willie,N_'',''_VD,VD_NP,","
31008,1414,'',",",VD,NP,",",'',",",said,Willie,",","''_,",",_NP","NP_,",VN
31009,1414,",",VD,NP,",",``,",",said,Willie,",",``,",_VD","VD_,",",_``",NP
31010,1414,VD,NP,",",``,PRO,said,Willie,",",``,ye,VD_NP,NP_``,``_PRO,","
31011,1414,NP,",",``,PRO,MOD,Willie,",",``,ye,must,"NP_,",",_PRO",PRO_MOD,CNJ
31012,1414,",",``,PRO,MOD,V,",",``,ye,must,be,",_``",``_MOD,MOD_V,PRO
31013,1414,``,PRO,MOD,V,VG,``,ye,must,be,countin',``_PRO,PRO_V,V_VG,MOD
31014,1414,PRO,MOD,V,VG,DET,ye,must,be,countin',the,PRO_MOD,MOD_VG,VG_DET,V
31015,1414,MOD,V,VG,DET,N,must,be,countin',the,echoes,MOD_V,V_DET,DET_N,VG
31016,1414,V,VG,DET,N,'',be,countin',the,echoes,'',V_VG,VG_N,N_'',DET
31017,1414,VG,DET,N,'',.,countin',the,echoes,'',.,VG_DET,DET_'',''_.,N
31018,1414,DET,N,'',.,end,the,echoes,'',.,,DET_N,N_.,._end,''
31019,1414,N,'',.,end,end,echoes,'',.,,,N_'',''_end,end_end,.
37764,1740,start,start,DET,V,V,,,Some,even,boast,start_start,start_V,V_V,DET
37765,1740,start,DET,V,V,NUM,,Some,even,boast,two,start_DET,DET_V,V_NUM,N
37766,1740,DET,V,V,NUM,N,Some,even,boast,two,pools,DET_V,V_NUM,NUM_N,V
37767,1740,V,V,NUM,N,",",even,boast,two,pools,",",V_V,V_N,"N_,",P
37768,1740,V,NUM,N,",",NUM,boast,two,pools,",",one,V_NUM,"NUM_,",",_NUM",N
37769,1740,NUM,N,",",NUM,P,two,pools,",",one,for,NUM_N,N_NUM,NUM_P,","
37770,1740,N,",",NUM,P,N,pools,",",one,for,adults,"N_,",",_P",P_N,PRO
37771,1740,",",NUM,P,N,CNJ,",",one,for,adults,and,",_NUM",NUM_N,N_CNJ,P
37772,1740,NUM,P,N,CNJ,NUM,one,for,adults,and,one,NUM_P,P_CNJ,CNJ_NUM,N
37773,1740,P,N,CNJ,NUM,P,for,adults,and,one,for,P_N,N_NUM,NUM_P,P
37774,1740,N,CNJ,NUM,P,N,adults,and,one,for,children,N_CNJ,CNJ_P,P_N,PRO
37775,1740,CNJ,NUM,P,N,.,and,one,for,children,.,CNJ_NUM,NUM_N,N_.,P
37776,1740,NUM,P,N,.,end,one,for,children,.,,NUM_P,P_.,._end,N
37777,1740,P,N,.,end,end,for,children,.,,,P_N,N_end,end_end,.
47301,2180,start,start,DET,N,VG,,,A,note,making,start_start,start_N,N_VG,DET
47302,2180,start,DET,N,VG,DET,,A,note,making,the,start_DET,DET_VG,VG_DET,N
47303,2180,DET,N,VG,DET,N,A,note,making,the,request,DET_N,N_DET,DET_N,VG
47304,2180,N,VG,DET,N,V,note,making,the,request,was,N_VG,VG_N,N_V,DET
47305,2180,VG,DET,N,V,VN,making,the,request,was,handed,VG_DET,DET_V,V_VN,N
47306,2180,DET,N,V,VN,P,the,request,was,handed,to,DET_N,N_VN,VN_P,V
47307,2180,N,V,VN,P,NP,request,was,handed,to,U.S.,N_V,V_P,P_NP,VN
47308,2180,V,VN,P,NP,N,was,handed,to,U.S.,Ambassador,V_VN,VN_NP,NP_N,P
47309,2180,VN,P,NP,N,NP,handed,to,U.S.,Ambassador,Winthrop,VN_P,P_N,N_NP,NP
47310,2180,P,NP,N,NP,NP,to,U.S.,Ambassador,Winthrop,G.,P_NP,NP_NP,NP_NP,N
47311,2180,NP,N,NP,NP,NP,U.S.,Ambassador,Winthrop,G.,Brown,NP_N,N_NP,NP_NP,NP
47312,2180,N,NP,NP,NP,.,Ambassador,Winthrop,G.,Brown,.,N_NP,NP_NP,NP_.,NP
47313,2180,NP,NP,NP,.,end,Winthrop,G.,Brown,.,,NP_NP,NP_.,._end,NP
47314,2180,NP,NP,.,end,end,G.,Brown,.,,,NP_NP,NP_end,end_end,.
150000,7006,start,start,DET,N,V,,,Several,effects,were,start_start,start_N,N_V,DET
150001,7006,start,DET,N,V,ADV,,Several,effects,were,immediately,start_DET,DET_V,V_ADV,N
150002,7006,DET,N,V,ADV,ADJ,Several,effects,were,immediately,evident,DET_N,N_ADV,ADV_ADJ,V
150003,7006,N,V,ADV,ADJ,.,effects,were,immediately,evident,.,N_V,V_ADJ,ADJ_.,DET
150004,7006,V,ADV,ADJ,.,end,were,immediately,evident,.,,V_ADV,ADV_.,._end,ADJ
150005,7006,ADV,ADJ,.,end,end,immediately,evident,.,,,ADV_ADJ,ADJ_end,end_end,.
154773,7247,start,start,VD,NUM,N,,,Cried,one,professor,start_start,start_NUM,NUM_N,VD
154774,7247,start,VD,NUM,N,P,,Cried,one,professor,after,start_VD,VD_N,N_P,DET
154775,7247,VD,NUM,N,P,DET,Cried,one,professor,after,a,VD_NUM,NUM_P,P_DET,N
154776,7247,NUM,N,P,DET,DET,one,professor,after,a,few,NUM_N,N_DET,DET_DET,P
154777,7247,N,P,DET,DET,N,professor,after,a,few,months,N_P,P_DET,DET_N,DET
154778,7247,P,DET,DET,N,P,after,a,few,months,of,P_DET,DET_N,N_P,DET
154779,7247,DET,DET,N,P,N,a,few,months,of,Student,DET_DET,DET_P,P_N,N
154780,7247,DET,N,P,N,NP,few,months,of,Student,Schiele's,DET_N,N_N,N_NP,P
154781,7247,N,P,N,NP,N,months,of,Student,Schiele's,tantrums,N_P,P_NP,NP_N,N
154782,7247,P,N,NP,N,CNJ,of,Student,Schiele's,tantrums,and,P_N,N_N,N_CNJ,N
154783,7247,N,NP,N,CNJ,N,Student,Schiele's,tantrums,and,rebellion,N_NP,NP_CNJ,CNJ_N,N
154784,7247,NP,N,CNJ,N,:,Schiele's,tantrums,and,rebellion,:,NP_N,N_N,N_:,CNJ
154785,7247,N,CNJ,N,:,``,tantrums,and,rebellion,:,``,N_CNJ,CNJ_:,:_``,N
154786,7247,CNJ,N,:,``,DET,and,rebellion,:,``,The,CNJ_N,N_``,``_DET,P
154787,7247,N,:,``,DET,N,rebellion,:,``,The,devil,N_:,:_DET,DET_N,``
154788,7247,:,``,DET,N,PRO,:,``,The,devil,himself,:_``,``_N,N_PRO,DET
154789,7247,``,DET,N,PRO,MOD,``,The,devil,himself,must,``_DET,DET_PRO,PRO_MOD,N
154790,7247,DET,N,PRO,MOD,V,The,devil,himself,must,have,DET_N,N_MOD,MOD_V,PRO
154791,7247,N,PRO,MOD,V,VN,devil,himself,must,have,defecated,N_PRO,PRO_V,V_VN,MOD
154792,7247,PRO,MOD,V,VN,PRO,himself,must,have,defecated,you,PRO_MOD,MOD_VN,VN_PRO,V
154793,7247,MOD,V,VN,PRO,P,must,have,defecated,you,into,MOD_V,V_PRO,PRO_P,V
154794,7247,V,VN,PRO,P,PRO,have,defecated,you,into,my,V_VN,VN_P,P_PRO,PRO
154795,7247,VN,PRO,P,PRO,N,defecated,you,into,my,classroom,VN_PRO,PRO_PRO,PRO_N,P
154796,7247,PRO,P,PRO,N,'',you,into,my,classroom,'',PRO_P,P_N,N_'',PRO
154797,7247,P,PRO,N,'',.,into,my,classroom,'',!,P_PRO,PRO_'',''_.,N
154798,7247,PRO,N,'',.,.,my,classroom,'',!,!,PRO_N,N_.,._.,N
154799,7247,N,'',.,.,end,classroom,'',!,!,,N_'',''_.,._end,.
154800,7247,'',.,.,end,end,'',!,!,,,''_.,._end,end_end,.
199172,9147,start,start,CNJ,PRO,MOD,,,But,he,would,start_start,start_PRO,PRO_MOD,CNJ
199173,9147,start,CNJ,PRO,MOD,V,,But,he,would,fight,start_CNJ,CNJ_MOD,MOD_V,PRO
199174,9147,CNJ,PRO,MOD,V,P,But,he,would,fight,for,CNJ_PRO,PRO_V,V_P,MOD
199175,9147,PRO,MOD,V,P,PRO,he,would,fight,for,his,PRO_MOD,MOD_P,P_PRO,V
199176,9147,MOD,V,P,PRO,ADJ,would,fight,for,his,own,MOD_V,V_PRO,PRO_ADJ,P
199177,9147,V,P,PRO,ADJ,N,fight,for,his,own,liberty,V_P,P_ADJ,ADJ_N,PRO
199178,9147,P,PRO,ADJ,N,P,for,his,own,liberty,rather,P_PRO,PRO_N,N_P,ADJ
199179,9147,PRO,ADJ,N,P,P,his,own,liberty,rather,than,PRO_ADJ,ADJ_P,P_P,N
199180,9147,ADJ,N,P,P,P,own,liberty,rather,than,for,ADJ_N,N_P,P_P,DET
199181,9147,N,P,P,P,DET,liberty,rather,than,for,any,N_P,P_P,P_DET,CNJ
199182,9147,P,P,P,DET,ADJ,rather,than,for,any,abstract,P_P,P_DET,DET_ADJ,P
199183,9147,P,P,DET,ADJ,N,than,for,any,abstract,principle,P_P,P_ADJ,ADJ_N,DET
199184,9147,P,DET,ADJ,N,VN,for,any,abstract,principle,connected,P_DET,DET_N,N_VN,ADJ
199185,9147,DET,ADJ,N,VN,P,any,abstract,principle,connected,with,DET_ADJ,ADJ_VN,VN_P,N
199186,9147,ADJ,N,VN,P,PRO,abstract,principle,connected,with,it,ADJ_N,N_P,P_PRO,VN
199187,9147,N,VN,P,PRO,--,principle,connected,with,it,--,N_VN,VN_PRO,PRO_--,P
199188,9147,VN,P,PRO,--,ADJ,connected,with,it,--,such,VN_P,P_--,--_ADJ,PRO
199189,9147,P,PRO,--,ADJ,CNJ,with,it,--,such,as,P_PRO,PRO_ADJ,ADJ_CNJ,--
199190,9147,PRO,--,ADJ,CNJ,``,it,--,such,as,``,PRO_--,--_CNJ,CNJ_``,ADJ
199191,9147,--,ADJ,CNJ,``,N,--,such,as,``,cause,--_ADJ,ADJ_``,``_N,CNJ
199192,9147,ADJ,CNJ,``,N,'',such,as,``,cause,'',ADJ_CNJ,CNJ_N,N_'',``
199193,9147,CNJ,``,N,'',.,as,``,cause,'',.,CNJ_``,``_'',''_.,N
199194,9147,``,N,'',.,end,``,cause,'',.,,``_N,N_.,._end,''
199195,9147,N,'',.,end,end,cause,'',.,,,N_'',''_end,end_end,.
212992,9659,start,start,DET,N,V,,,The,fact,is,start_start,start_N,N_V,DET
212993,9659,start,DET,N,V,ADJ,,The,fact,is,incontestable,start_DET,DET_V,V_ADJ,N
212994,9659,DET,N,V,ADJ,:,The,fact,is,incontestable,:,DET_N,N_ADJ,ADJ_:,V
212995,9659,N,V,ADJ,:,DET,fact,is,incontestable,:,that,N_V,V_:,:_DET,N
212996,9659,V,ADJ,:,DET,ADJ,is,incontestable,:,that,liberal,V_ADJ,ADJ_DET,DET_ADJ,P
212997,9659,ADJ,:,DET,ADJ,N,incontestable,:,that,liberal,world,ADJ_:,:_ADJ,ADJ_N,DET
212998,9659,:,DET,ADJ,N,P,:,that,liberal,world,of,:_DET,DET_N,N_P,ADJ
212999,9659,DET,ADJ,N,P,ADJ,that,liberal,world,of,Unitarian,DET_ADJ,ADJ_P,P_ADJ,N
213000,9659,ADJ,N,P,ADJ,NP,liberal,world,of,Unitarian,Boston,ADJ_N,N_ADJ,ADJ_NP,P
213001,9659,N,P,ADJ,NP,V,world,of,Unitarian,Boston,was,N_P,P_NP,NP_V,ADJ
213002,9659,P,ADJ,NP,V,ADJ,of,Unitarian,Boston,was,narrow-minded,P_ADJ,ADJ_V,V_ADJ,NP
213003,9659,ADJ,NP,V,ADJ,",",Unitarian,Boston,was,narrow-minded,",",ADJ_NP,NP_ADJ,"ADJ_,",V
213004,9659,NP,V,ADJ,",",ADV,Boston,was,narrow-minded,",",intellectually,NP_V,"V_,",",_ADV",N
213005,9659,V,ADJ,",",ADV,ADJ,was,narrow-minded,",",intellectually,sterile,V_ADJ,ADJ_ADV,ADV_ADJ,V
213006,9659,ADJ,",",ADV,ADJ,",",narrow-minded,",",intellectually,sterile,",","ADJ_,",",_ADJ","ADJ_,",ADV
213007,9659,",",ADV,ADJ,",",ADJ,",",intellectually,sterile,",",smug,",_ADV","ADV_,",",_ADJ",ADJ
213008,9659,ADV,ADJ,",",ADJ,",",intellectually,sterile,",",smug,",",ADV_ADJ,ADJ_ADJ,"ADJ_,",","
213009,9659,ADJ,",",ADJ,",",ADJ,sterile,",",smug,",",afraid,"ADJ_,",",_,",",_ADJ",ADJ
213010,9659,",",ADJ,",",ADJ,P,",",smug,",",afraid,of,",_ADJ",ADJ_ADJ,ADJ_P,","
213011,9659,ADJ,",",ADJ,P,DET,smug,",",afraid,of,the,"ADJ_,",",_P",P_DET,ADJ
213012,9659,",",ADJ,P,DET,ADJ,",",afraid,of,the,logical,",_ADJ",ADJ_DET,DET_ADJ,P
213013,9659,ADJ,P,DET,ADJ,N,afraid,of,the,logical,consequences,ADJ_P,P_ADJ,ADJ_N,DET
213014,9659,P,DET,ADJ,N,P,of,the,logical,consequences,of,P_DET,DET_N,N_P,ADJ
213015,9659,DET,ADJ,N,P,PRO,the,logical,consequences,of,its,DET_ADJ,ADJ_P,P_PRO,N
